node   1  (   0,    0) (   9,    3) (  29,    4) (  44,    6) (  65,   25) (  81,   63) (  81,   85) (  81,   93) (  81,   81) (  81,   81)
          (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81)
          (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81)
          (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81)
          (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81)
          (  81,   81) (  73,   81) (  64,   74) (  77,   70) (  60,   67) (  92,   72) (  72,   72) (  77,   71) (  66,   74) (  80,   73)
          (  63,   68) (  60,   70) (  86,   75) (  74,   69) (  78,   74) (  59,   70) (  85,   74) (  70,   76) (  58,   66) ( 101,   74)
          (  67,   72) (  74,   71) (  67,   76) (  76,   68) (  71,   68) (  77,   80) (  56,   67) (  75,   69) (  87,   75) (  64,   66)
          (  79,   77) (  74,   69) (  66,   68) (  71,   81) (  74,   74) (  65,   74) (  74,   70) (  81,   72) (  58,   70) (  76,   71)
          (  65,   75) (  80,   74) (  71,   74) (  51,   72) (  90,   75) (  63,   66) (  78,   72) (  62,   70) (  83,   69) (  56,   72)
          (  85,   77) (  64,   75) (  73,   61) (  66,   60) (  62,   56) (  58,   59) (  57,   52) (  68,   56) (  67,   58) (  48,   54)
          (  56,   61) (  52,   54) (  61,   56) (  58,   55) (  64,   63) (  53,   57) (  59,   51) (  59,   63) (  65,   53) (  51,   60)
          (  61,   58) (  57,   54) (  53,   67) (  57,   56) (  59,   56) (  55,   59) (  52,   58) (  59,   55) (  43,   63) (  72,   59)
          (  59,   60) (  58,   59) (  45,   55) (  71,   50) (  58,   61) (  60,   60) (  59,   58) (  57,   56) (  41,   56) (  70,   51)
          (  60,   59) (  46,   62) (  56,   53) (  58,   57) (  56,   59) (  57,   60) (  52,   63) (  56,   53) (  60,   56) (  58,   59)
          (  50,   54) (  65,   56) (  55,   59) (  53,   61) (  59,   50) (  43,   59) (  53,   52) (  63,   61) (  58,   57) (  63,   57)
          (  50,   57) (  48,   57) (  65,   58) (  67,   61) (  58,   61) (  61,   56) (  59,   59) (  44,   53) (  55,   59) (  58,   59)
          (  57,   61) (  62,   56) (  58,   65) (  57,   57) (  55,   56) (  48,   58) (  67,   55) (  43,   62) (  67,   59) (  59,   52)
          (  57,   61) (  60,   58) (  56,   58) (  56,   57) (  53,   53) (  64,   55) (  52,   55) (  55,   49) (  51,   51) (  72,   57)
          (  50,   63) (  64,   52) (  55,   60) (  56,   58) (  64,   55) (  59,   58) (  43,   58) (  51,   46) (  72,   53) (  58,   58)
          (  58,   57) (  58,   55) (  54,   54) (  59,   62) (  50,   58) (  60,   59) (  49,   48) (  61,   61) (  62,   57) (  41,   58)
          (  53,   55) (  45,   52) (  55,   58) (  66,   54) (  63,   59) (  63,   61) (  60,   54) (  54,   53) (  61,   62) (  50,   52)
          (  58,   57) (  61,   63) (  61,   59) (  51,   56) (  59,   56) (  50,   60) (  56,   58) (  58,   63) (  48,   56) (  55,   56)
          (  66,   54) (  58,   60) (  45,   53) (  60,   61) (  74,   54) (  58,   58) (  54,   59) (  54,   56) (  66,   57) (  59,   63)
          (  61,   55) (  61,   59) (  59,   59) (  60,   58) (  53,   50) (  59,   62) (  51,   57) (  59,   56) (  56,   60) (  67,   52)
